epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,72.5785,0.96235,0.87422,1,0.3596,0.000411458,0.000411458,0.000411458
2,114.162,0.49944,0.88358,1,0.322,0.000787133,0.000787133,0.000787133
3,155.458,0.50298,0.90125,1,0.29202,0.00112156,0.00112156,0.00112156
4,196.813,0.49487,0.88565,1,0.28747,0.00106437,0.00106437,0.00106437
5,236.929,0.41243,0.88981,1,0.32472,0.0010025,0.0010025,0.0010025
6,275.299,0.43318,0.91164,1,0.23278,0.000940625,0.000940625,0.000940625
7,314.484,0.43821,0.93139,1,0.23405,0.00087875,0.00087875,0.00087875
8,353.125,0.39168,0.93243,1,0.20866,0.000816875,0.000816875,0.000816875
9,391.894,0.43818,0.93035,1,0.20772,0.000755,0.000755,0.000755
10,431.012,0.33164,0.92412,1,0.20925,0.000693125,0.000693125,0.000693125
11,470.992,0.34419,0.92827,1,0.18017,0.00063125,0.00063125,0.00063125
12,510.813,0.35311,0.91892,1,0.2026,0.000569375,0.000569375,0.000569375
13,551.97,0.26965,0.93867,1,0.18888,0.0005075,0.0005075,0.0005075
14,592.492,0.29617,0.93971,1,0.16482,0.000445625,0.000445625,0.000445625
15,632.325,0.24671,0.94387,1,0.16205,0.00038375,0.00038375,0.00038375
16,672.79,0.21929,0.94179,1,0.15928,0.000321875,0.000321875,0.000321875
17,713.045,0.19682,0.94491,1,0.13872,0.00026,0.00026,0.00026
18,753.126,0.21311,0.94699,1,0.14532,0.000198125,0.000198125,0.000198125
19,793.03,0.19544,0.93971,1,0.15719,0.00013625,0.00013625,0.00013625
20,831.013,0.18226,0.94491,1,0.14886,7.4375e-05,7.4375e-05,7.4375e-05
