epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.13424,3.96147,5.07643,4.30069,0.00057,0.11111,0.00035,7e-05,4.58195,5.23425,4.16001,8e-05,8e-05,8e-05
2,2.32124,4.34486,5.81209,4.25118,0.00057,0.11111,0.00035,7e-05,4.58265,5.23495,4.16114,0.000178218,0.000178218,0.000178218
3,3.52358,4.13638,5.11144,4.21762,0.00057,0.11111,0.00035,8e-05,4.58406,5.23792,4.16254,0.000274456,0.000274456,0.000274456
4,4.691,3.98266,5.00642,4.21729,0.00057,0.11111,0.00035,7e-05,4.58494,5.24031,4.16444,0.000368714,0.000368714,0.000368714
5,5.87809,4.04759,4.80971,4.17418,0.00058,0.11111,0.00036,8e-05,4.58715,5.24847,4.16913,0.000460992,0.000460992,0.000460992
6,7.0492,3.92087,4.92401,4.07164,0.00057,0.11111,0.00035,8e-05,4.58838,5.25899,4.17378,0.00055129,0.00055129,0.00055129
7,8.23825,3.65454,4.57069,4.01402,0.00058,0.11111,0.00036,8e-05,4.59224,5.27761,4.18237,0.000639608,0.000639608,0.000639608
8,9.42356,3.85978,4.84028,3.92317,0.00057,0.11111,0.00034,8e-05,4.5951,5.29781,4.19051,0.000725946,0.000725946,0.000725946
9,10.5539,3.55234,4.44005,3.81554,0.00057,0.11111,0.00034,9e-05,4.60138,5.31779,4.19731,0.000810304,0.000810304,0.000810304
10,11.9416,3.1692,4.56199,3.69862,0.00057,0.11111,0.00035,0.0001,4.60132,5.34786,4.20786,0.000892682,0.000892682,0.000892682
11,13.0854,3.71434,4.36152,3.72106,0.00057,0.11111,0.00039,0.00012,4.60346,5.38893,4.22092,0.00097308,0.00097308,0.00097308
12,14.2336,3.49463,4.39776,3.5966,0.00067,0.11111,0.00043,0.00014,4.62498,5.4448,4.25536,0.0010515,0.0010515,0.0010515
13,15.3491,3.31096,4.15759,3.36984,0.00063,0.10185,0.00042,0.00011,4.67333,5.50268,4.31396,0.00112794,0.00112794,0.00112794
14,16.4284,3.18918,4.0818,3.51304,0.00059,0.09259,0.00038,0.00011,4.74405,5.61048,4.41547,0.00120239,0.00120239,0.00120239
15,17.5712,3.32663,4.24664,3.34292,0.00041,0.06481,0.00028,0.0001,4.76258,5.65994,4.4481,0.00127487,0.00127487,0.00127487
16,18.6612,3.07697,3.83086,3.35131,0.00041,0.06481,0.00027,0.0001,4.74125,5.63349,4.38565,0.00134537,0.00134537,0.00134537
17,19.8055,3.11336,3.86234,3.35302,0.00037,0.05556,0.00022,6e-05,4.76075,5.62762,4.38953,0.00141389,0.00141389,0.00141389
18,20.9885,2.90483,3.53394,3.19582,0.00037,0.05556,0.00024,5e-05,4.81686,5.61246,4.46596,0.00148043,0.00148043,0.00148043
19,22.131,2.93408,3.66516,3.11939,0.00039,0.05556,0.00027,4e-05,4.83681,4.72825,4.5764,0.00154498,0.00154498,0.00154498
20,23.2508,2.83045,3.50236,3.08842,0.00047,0.06481,0.00031,4e-05,4.73551,4.47985,4.60268,0.00160756,0.00160756,0.00160756
21,24.3286,2.94701,3.54216,3.13011,0.00077,0.10185,0.00044,0.00013,4.44182,4.33115,4.37852,0.001604,0.001604,0.001604
22,25.6745,2.86149,3.43126,3.08712,0.00177,0.24074,0.00126,0.00048,4.05431,4.23852,4.01187,0.0015842,0.0015842,0.0015842
23,26.763,2.98294,3.35479,3.00214,0.0022,0.32407,0.00384,0.00138,3.56555,4.00375,3.60585,0.0015644,0.0015644,0.0015644
24,27.8967,2.92082,3.34247,2.91464,0.11164,0.17593,0.04248,0.01138,2.99177,3.62135,3.03539,0.0015446,0.0015446,0.0015446
25,29.0373,2.87898,3.3131,2.88707,0.27669,0.01852,0.06435,0.02244,2.74979,3.52029,2.88145,0.0015248,0.0015248,0.0015248
26,30.2023,2.70289,3.29587,2.80535,0.54236,0.05556,0.08375,0.02745,2.69508,3.56284,2.79889,0.001505,0.001505,0.001505
27,31.3746,2.79878,3.19947,2.79879,0.24434,0.08333,0.09243,0.02788,2.65274,3.41222,2.75617,0.0014852,0.0014852,0.0014852
28,32.6472,2.79293,3.16878,2.75156,0.03119,0.16667,0.01872,0.00581,2.93794,4.1383,2.9334,0.0014654,0.0014654,0.0014654
29,33.8108,2.90348,3.03406,2.87841,0.01535,0.14815,0.0075,0.00249,3.14546,12.4442,3.17984,0.0014456,0.0014456,0.0014456
30,34.9281,2.53334,2.94645,2.74894,0.01515,0.12963,0.00684,0.00212,3.26307,20.5904,3.43724,0.0014258,0.0014258,0.0014258
31,36.0588,2.63897,2.94089,2.65659,0.01726,0.18519,0.00982,0.00266,3.21372,24.4694,3.39289,0.001406,0.001406,0.001406
32,37.3959,2.57652,2.88466,2.5764,0.04,0.10185,0.01431,0.00455,3.00292,14.0131,3.19588,0.0013862,0.0013862,0.0013862
33,38.5121,2.6578,3.04035,2.72125,0.1427,0.22222,0.06943,0.02023,2.81025,3.78615,2.9236,0.0013664,0.0013664,0.0013664
34,39.6051,2.56966,2.89716,2.63543,0.17387,0.16667,0.06923,0.02182,2.75378,3.27234,2.94979,0.0013466,0.0013466,0.0013466
35,40.6753,2.68059,2.8063,2.62326,0.16645,0.18519,0.10668,0.03093,2.71653,3.15982,3.00031,0.0013268,0.0013268,0.0013268
36,41.8137,2.60765,2.87496,2.65815,0.22094,0.22222,0.12044,0.03366,2.77766,2.90782,3.0759,0.001307,0.001307,0.001307
37,42.9444,2.64279,2.76913,2.57374,0.17647,0.17593,0.08722,0.02783,2.79024,3.2386,3.08334,0.0012872,0.0012872,0.0012872
38,44.055,2.71343,2.98719,2.71229,0.09229,0.21296,0.04611,0.01098,2.81595,4.52571,3.10667,0.0012674,0.0012674,0.0012674
39,45.1854,2.57068,2.67533,2.62674,0.05106,0.18519,0.02256,0.0063,2.81119,8.68219,3.11183,0.0012476,0.0012476,0.0012476
40,46.4193,2.56022,2.87306,2.66948,0.22488,0.14815,0.09872,0.027,2.74453,12.6069,2.89669,0.0012278,0.0012278,0.0012278
41,47.5352,2.59705,2.59098,2.5237,0.21349,0.31481,0.13382,0.04174,2.56137,6.88782,2.69317,0.001208,0.001208,0.001208
42,48.6681,2.54403,2.70725,2.52377,0.24794,0.30556,0.16823,0.06008,2.32453,3.54465,2.45269,0.0011882,0.0011882,0.0011882
43,49.7908,2.59432,2.69742,2.57837,0.28765,0.33333,0.17399,0.06484,2.24905,2.92903,2.36716,0.0011684,0.0011684,0.0011684
44,51.1347,2.4729,2.63836,2.43539,0.38925,0.30556,0.23091,0.08898,2.24779,2.40744,2.33947,0.0011486,0.0011486,0.0011486
45,52.2243,2.48744,2.68306,2.48497,0.34243,0.34259,0.24813,0.09238,2.27429,2.35865,2.36018,0.0011288,0.0011288,0.0011288
46,53.3565,2.53828,2.58205,2.53857,0.30249,0.38889,0.23745,0.08862,2.36182,2.3087,2.42863,0.001109,0.001109,0.001109
47,54.4241,2.51892,2.49425,2.52638,0.30384,0.41667,0.2353,0.0849,2.41792,2.19399,2.4705,0.0010892,0.0010892,0.0010892
48,55.5718,2.51068,2.53341,2.55722,0.43948,0.2963,0.24425,0.08166,2.35657,2.38321,2.49453,0.0010694,0.0010694,0.0010694
49,56.6871,2.50548,2.48592,2.44954,0.38371,0.24215,0.17314,0.05587,2.47113,2.67434,2.56795,0.0010496,0.0010496,0.0010496
50,57.7987,2.48746,2.44343,2.51924,0.3011,0.24074,0.16526,0.06505,2.45086,2.6558,2.56395,0.0010298,0.0010298,0.0010298
51,58.9313,2.38147,2.75985,2.53205,0.33751,0.32407,0.24658,0.09424,2.31486,2.3645,2.5186,0.00101,0.00101,0.00101
52,60.1076,2.32999,2.50716,2.42671,0.37376,0.40741,0.28493,0.11423,2.12974,2.12712,2.3559,0.0009902,0.0009902,0.0009902
53,61.1962,2.33325,2.30008,2.3275,0.43887,0.37963,0.29768,0.12755,2.12893,2.24332,2.33351,0.0009704,0.0009704,0.0009704
54,62.2885,2.36753,2.48321,2.32302,0.43284,0.42399,0.33848,0.14451,2.11511,2.38046,2.2883,0.0009506,0.0009506,0.0009506
55,63.4151,2.4132,2.57832,2.47307,0.53931,0.40741,0.40125,0.16316,2.07699,2.51653,2.23901,0.0009308,0.0009308,0.0009308
